@relation segment

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
129,130.833328,40.166668,129.956528,150.40712,128.38562,218.396378,126.619896,365.405609,'class 1'
137,134,50.400002,133.260864,62.837944,127.568626,215.865326,127.509766,342.490112,'class 1'
135,133,134.800003,128.391312,156.521744,125.111115,253.546783,127.765541,314.458771,'class 1'
132,123,165.199997,121.826088,246.422928,124.718956,280.374451,125.21701,412.748688,'class 1'
137,134.833328,41.366665,131.434784,131.075104,126.915031,232.328262,126.480904,387.516571,'class 1'
146,141.833328,60.566666,136.304352,70.948616,126.738564,227.852249,127.09201,364.080139,'class 1'
153,141,115.199997,132.739136,167.110672,124.653595,241.912109,127.085938,338.725006,'class 1'
128,127.166664,270.966675,123.08696,311.628448,121.366013,255.115158,126.760414,314.363068,'class 1'
112,109.166664,180.566666,106.782608,219.905136,113.045753,343.017639,122.910667,462.466827,'class 1'
124,117.5,101.900002,115,235.72728,119.333336,334.223694,124.165657,457.350128,'class 1'
129,130.166672,15.766666,126.521736,162.169968,124.274513,322.568878,125.367737,440.007019,'class 1'
136,138,35.200001,135.869568,95.93676,127.555557,272.722229,126.228104,417.896698,'class 1'
146,144.833328,27.366667,140.608688,66.249008,128.15686,256.593658,126.489159,395.448029,'class 1'
152,147,49.599998,137.347824,148.14624,126.294121,260.695831,126.182137,376.091797,'class 1'
134,132.666672,151.066666,127.260872,306.837952,123.640526,269.244934,125.57502,354.357422,'class 1'
117,114,152,114.95652,223.225296,120.509804,257.119965,125.230705,327.616882,'class 1'
105,107.333336,86.666664,110.782608,104.72332,117.562088,221.629349,125.245445,306.846832,'class 1'
104,104.166664,183.366669,103.04348,193.588928,102.908493,284.228424,121.527321,474.579346,'class 1'
124,115,74.400002,108.391304,157.249008,107.732025,343.6185,122.687775,482.23056,'class 1'
122,119.333336,59.866665,115.347824,175.964432,114.241829,393.329285,123.74501,485.061676,'class 1'
116,123.5,71.5,123.130432,168.209488,121.111115,423.07309,124.658279,477.527222,'class 1'
131,132.166672,112.966667,132.608688,127.249008,127.294121,391.458984,125.457939,462.1651,'class 1'
143,141.5,50.700001,139.869568,97.391304,130.738556,324.66803,125.883781,445.73822,'class 1'
146,147.166672,10.166667,144.82608,50.78656,131.84314,285.567352,125.836082,426.781281,'class 1'
151,147.666672,35.466667,142.304352,107.857704,130.169937,305.141998,125.359932,408.140289,'class 1'
140,135.5,158.699997,133.130432,231.482208,127.620918,298.6185,124.588028,387.015045,'class 1'
121,122.333336,120.666664,121.608696,218.0672,124.830063,270.826202,124.167389,358.311371,'class 1'
119,117.166664,52.966667,116.347824,119.237152,122.039215,226.248459,124.270599,339.412811,'class 1'
126,121.666664,64.26667,117.869568,81.845848,119.176468,161.68576,124.768433,326.068726,'class 1'
122,122,76.800003,118.565216,155.62056,111.901962,395.417969,123.794449,499.01413,'class 1'
131,127.166664,148.566666,123.173912,183.604736,118.967323,462.189728,124.74588,498.970947,'class 1'
135,131.5,135.5,129.82608,187.877472,126.026146,469.459839,125.353859,488.279175,'class 1'
145,141.5,75.099998,138.130432,169.209488,132.313721,393.86145,125.692978,480.732056,'class 1'
151,148.833328,36.966667,146.434784,109.711464,135.960785,313.853729,125.776237,468.722443,'class 1'
151,151.333328,45.066666,149.434784,64.711464,137.215683,278.196594,125.542061,449.831787,'class 1'
155,151,20.4,146.217392,97.177864,135.483658,313.001373,124.883781,430.500366,'class 1'
146,143.666672,89.066666,139.217392,193.814224,132.679733,323.955963,124.091064,408.924866,'class 1'
129,129.5,111.5,130.08696,212.264816,129.424835,277.101227,123.567215,382.004364,'class 1'
119,120.833336,89.76667,123.173912,99.513832,126.058823,222.213623,123.656548,368.131927,'class 1'
132,126.166664,25.366667,123.565216,60.711464,122.862747,157.290253,124.122292,354.834869,'class 1'
127,127.5,45.099998,124.347824,39.146244,120.437912,100.774078,124.667824,330.873077,'class 1'
131,130.666672,69.466667,126.217392,149.541504,118.045753,426.043945,125.169991,507.101288,'class 1'
144,137.333328,69.466667,131.478256,166.169968,125.267975,506.105347,125.934082,503.334198,'class 1'
142,140.333328,100.666664,137.869568,193.754944,132.575165,478.245972,126.300957,502.413696,'class 1'
